"date","category","earned","earned_cumulative","budget","planned_cumulative"
"01/01/2018","",NA,NA,4.37554,NA
"01/01/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"01/01/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"01/01/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"01/01/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"01/01/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"01/01/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"01/01/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"01/01/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"01/01/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"01/01/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"01/01/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"01/01/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"01/01/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"01/01/2018","P7.2.057 Landscaping",NA,NA,600,NA
"01/01/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"01/01/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"01/01/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"01/02/2018","",NA,NA,4.37554,NA
"01/02/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"01/02/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"01/02/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"01/02/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"01/02/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"01/02/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"01/02/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"01/02/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"01/02/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"01/02/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"01/02/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"01/02/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"01/02/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"01/02/2018","P7.2.057 Landscaping",NA,NA,600,NA
"01/02/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"01/02/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"01/02/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"01/03/2018","",NA,NA,4.37554,NA
"01/03/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"01/03/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"01/03/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"01/03/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"01/03/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"01/03/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"01/03/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"01/03/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"01/03/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"01/03/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"01/03/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"01/03/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"01/03/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"01/03/2018","P7.2.057 Landscaping",NA,NA,600,NA
"01/03/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"01/03/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"01/03/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"01/04/2018","",NA,NA,4.37554,NA
"01/04/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"01/04/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"01/04/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"01/04/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"01/04/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"01/04/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"01/04/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"01/04/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"01/04/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"01/04/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"01/04/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"01/04/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"01/04/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"01/04/2018","P7.2.057 Landscaping",NA,NA,600,NA
"01/04/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"01/04/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"01/04/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"01/05/2018","",NA,NA,4.37554,NA
"01/05/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"01/05/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"01/05/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"01/05/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"01/05/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"01/05/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"01/05/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"01/05/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"01/05/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"01/05/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"01/05/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"01/05/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"01/05/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"01/05/2018","P7.2.057 Landscaping",NA,NA,600,NA
"01/05/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"01/05/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"01/05/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"01/06/2018","",NA,NA,4.37554,NA
"01/06/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"01/06/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"01/06/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"01/06/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"01/06/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"01/06/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"01/06/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"01/06/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"01/06/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"01/06/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"01/06/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"01/06/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"01/06/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"01/06/2018","P7.2.057 Landscaping",NA,NA,600,NA
"01/06/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"01/06/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"01/06/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"01/07/2018","",NA,NA,4.37554,NA
"01/07/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"01/07/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"01/07/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"01/07/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"01/07/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"01/07/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"01/07/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"01/07/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"01/07/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"01/07/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"01/07/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"01/07/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"01/07/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"01/07/2018","P7.2.057 Landscaping",NA,NA,600,NA
"01/07/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"01/07/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"01/07/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"01/08/2018","",NA,NA,4.37554,NA
"01/08/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"01/08/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"01/08/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"01/08/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"01/08/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"01/08/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
