"date","category","category_2","earned","earned_cumulative","budget","planned_cumulative","type","last_budget","baseline_budget"
"01/02/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"01/03/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"01/04/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"01/05/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"01/06/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"02/02/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"02/03/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"02/04/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"02/05/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"02/06/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"03/02/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"03/03/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"03/04/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"03/05/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"03/06/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"04/02/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"04/03/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"04/04/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"04/05/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"04/06/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"05/02/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"05/03/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"05/04/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"05/05/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"05/06/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"06/02/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"06/03/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"06/04/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"06/05/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"06/06/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"07/01/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"07/02/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"07/03/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"07/04/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"07/05/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"07/06/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"08/01/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"08/02/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"08/03/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"08/04/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
"08/05/2019","LOGISTIC Install PCU on Position","3",NA,NA,60,60,0,60,60
